climateZone,croplandArea,grazingArea,forestArea,livestockHeads,workingAdults,varCost,debt,cropTypes,livestockTypes,agIncomeShare,marketDist,extensionFreq
1,0,600,800,150,2,20000,0,0,1,0.3,500,1
1,100,400,600,200,2,20000,0,2,1,0.2,500,0
1,150,200,0,200,2,20000,1000000,4,2,0.6,80,2
1,150,0,200,0,2,20000,150000,3,0,0.7,40,1
1,600,0,200,0,6,100000,1000000,4,0,0.3,100,1
1,600,200,400,500,6,100000,1000000,5,3,0.7,400,1
2,100,50,200,150,6,20000,1000000,1,2,0.7,200,4
2,100,150,150,200,6,20000,0,2,1,1,200,1
2,150,0,200,0,6,20000,150000,1,0,0.2,15,2
2,150,0,0,0,6,20000,500000,4,0,0.5,0,1
2,600,300,0,500,6,100000,500000,5,1,1,40,1
2,0,800,1500,500,6,100000,150000,0,1,1,600,0
